fecha_vacunacion,DOSIS,cuenta
2021-03-12,2,17740
2021-03-13,1,6185
2021-03-13,2,29442
2021-03-14,1,710
2021-03-14,2,2716
2021-03-15,1,18129
2021-03-15,2,29810
2021-03-16,1,22657
2021-03-16,2,24939
2021-03-16,5,1
2021-03-17,1,22411
2021-03-17,2,24448
2021-03-18,1,26210
2021-03-18,2,16615
2021-03-19,1,25675
2021-03-19,2,15829
2021-03-20,1,18165
2021-03-20,2,6389
2021-03-21,1,686
2021-03-21,2,1029
2021-03-22,1,8696
2021-03-22,2,8756
2021-03-23,1,15637
2021-03-23,2,9295
2021-03-24,1,14680
2021-03-24,2,7391
2021-03-25,1,12953
2021-03-25,2,4806
2021-03-26,1,16629
2021-03-26,2,4761
2021-03-27,1,11295
2021-03-27,2,3100
2021-03-28,1,2094
2021-03-28,2,201
2021-03-29,1,4901
2021-03-29,2,12491
2021-03-30,1,4650
2021-03-30,2,21950
2021-03-31,1,7617
2021-03-31,2,17579
2021-04-01,1,2431
2021-04-01,2,4301
2021-04-02,1,1145
2021-04-02,2,2802
2021-04-03,1,2710
2021-04-03,2,6197
2021-04-04,1,276
2021-04-04,2,1319
2021-04-05,1,6145
2021-04-05,2,10337
2021-04-06,1,11759
2021-04-06,2,18657
2021-04-07,1,13866
2021-04-07,2,17005
2021-04-07,3,1
2021-04-08,1,16997
2021-04-08,2,28805
2021-04-09,1,16632
2021-04-09,2,18417
2021-04-10,1,4185
2021-04-10,2,8776
2021-04-11,1,23
2021-04-11,2,78
2021-04-12,1,903
2021-04-12,2,13239
2021-04-12,3,2
2021-04-13,1,1884
2021-04-13,2,20125
2021-04-14,1,2727
2021-04-14,2,20685
2021-04-15,1,1841
2021-04-15,2,21547
2021-04-16,1,19691
2021-04-16,2,21873
2021-04-17,1,29643
2021-04-17,2,14602
2021-04-18,1,27934
2021-04-18,2,3173
2021-04-19,1,6964
2021-04-19,2,4018
2021-04-20,1,11269
2021-04-20,2,5145
2021-04-21,1,9829
2021-04-21,2,10243
2021-04-22,1,8220
2021-04-22,2,2521
2021-04-23,1,26405
2021-04-23,2,2590
2021-04-24,1,27681
2021-04-24,2,2465
2021-04-25,1,15558
2021-04-25,2,126
2021-04-26,1,15365
2021-04-26,2,4507
2021-04-27,1,19710
2021-04-27,2,10823
2021-04-27,3,1
2021-04-27,4,1
2021-04-28,1,39526
2021-04-28,2,11836
2021-04-28,3,1
2021-04-29,1,44737
2021-04-29,2,12884
2021-04-29,3,1
2021-04-30,1,81250
2021-04-30,2,18271
2021-05-01,1,63150
2021-05-01,2,2995
2021-05-02,1,47939
2021-05-02,2,1079
2021-05-03,1,59263
2021-05-03,2,5042
2021-05-04,1,22874
2021-05-04,2,1516
2021-05-05,1,20476
2021-05-05,2,4560
2021-05-06,1,39238
2021-05-06,2,2062
2021-05-06,4,1
2021-05-07,1,33509
2021-05-07,2,14824
2021-05-07,4,1
2021-05-08,1,61117
2021-05-08,2,22739
2021-05-09,1,33254
2021-05-09,2,25450
2021-05-10,1,47500
2021-05-10,2,9029
2021-05-11,1,42786
2021-05-11,2,12563
2021-05-12,1,57639
2021-05-12,2,11389
2021-05-13,1,73428
2021-05-13,2,8428
2021-05-13,4,1
2021-05-14,1,87994
2021-05-14,2,20944
2021-05-15,1,52990
2021-05-15,2,22004
2021-05-16,1,23637
2021-05-16,2,14538
2021-05-17,1,51140
2021-05-17,2,8319
2021-05-18,1,59548
2021-05-18,2,9897
2021-05-19,1,60366
2021-05-19,2,20363
2021-05-20,1,70321
2021-05-20,2,16430
2021-05-21,1,109110
2021-05-21,2,53643
2021-05-22,1,79409
2021-05-22,2,52295
2021-05-23,1,45299
2021-05-23,2,42825
2021-05-23,3,1
2021-05-24,1,69595
2021-05-24,2,52310
2021-05-24,3,1
2021-05-25,1,77804
2021-05-25,2,23648
2021-05-26,1,83230
2021-05-26,2,12781
2021-05-26,3,1
2021-05-27,1,90370
2021-05-27,2,27071
2021-05-28,1,124678
2021-05-28,2,27831
2021-05-28,4,1
2021-05-29,1,75281
2021-05-29,2,56135
2021-05-30,1,33876
2021-05-30,2,31554
2021-05-31,1,68981
2021-05-31,2,43370
2021-06-01,1,75767
2021-06-01,2,38017
2021-06-01,3,1
2021-06-02,1,78333
2021-06-02,2,36395
2021-06-02,3,1
2021-06-03,1,38761
2021-06-03,2,26870
2021-06-04,1,16162
2021-06-04,2,21569
2021-06-05,1,7561
2021-06-05,2,13705
2021-06-06,1,1853
2021-06-06,2,305
2021-06-07,1,7969
2021-06-07,2,23413
2021-06-08,1,101514
2021-06-08,2,116738
2021-06-08,3,2
2021-06-09,1,115116
2021-06-09,2,92301
2021-06-09,3,2
2021-06-10,1,124616
2021-06-10,2,106640
2021-06-11,1,90858
2021-06-11,2,135276
2021-06-11,3,1
2021-06-12,1,75576
2021-06-12,2,89191
2021-06-12,3,2
2021-06-13,1,37356
2021-06-13,2,46982
2021-06-13,3,1
2021-06-14,1,36426
2021-06-14,2,78651
2021-06-14,4,1
2021-06-15,1,42164
2021-06-15,2,89488
2021-06-15,3,2
2021-06-16,1,38211
2021-06-16,2,77094
2021-06-17,1,40651
2021-06-17,2,100643
2021-06-18,1,35741
2021-06-18,2,139311
2021-06-18,3,3
2021-06-19,1,22687
2021-06-19,2,92001
2021-06-19,3,3
2021-06-20,1,6253
2021-06-20,2,27174
2021-06-20,3,2
2021-06-21,1,44334
2021-06-21,2,68774
2021-06-21,3,1
2021-06-22,1,47051
2021-06-22,2,94984
2021-06-23,1,41251
2021-06-23,2,87740
2021-06-23,3,1
2021-06-24,1,44284
2021-06-24,2,42100
2021-06-25,1,92742
2021-06-25,2,34922
2021-06-26,1,69580
2021-06-26,2,12927
2021-06-27,1,47399
2021-06-27,2,3972
2021-06-27,3,2
2021-06-28,1,42572
2021-06-28,2,13994
2021-06-28,3,1
2021-06-29,1,31278
2021-06-29,2,69832
2021-06-29,3,1
2021-06-29,4,1
2021-06-30,1,84088
2021-06-30,2,98717
2021-06-30,3,1
2021-06-30,4,2
2021-07-01,1,100283
2021-07-01,2,101745
2021-07-01,3,2
2021-07-02,1,116633
2021-07-02,2,91460
2021-07-02,3,3
2021-07-03,1,124673
2021-07-03,2,73250
2021-07-03,3,1
2021-07-04,1,100246
2021-07-04,2,35453
2021-07-05,1,151347
2021-07-05,2,37039
2021-07-06,1,172288
2021-07-06,2,41904
2021-07-06,3,2
2021-07-07,1,137741
2021-07-07,2,34614
2021-07-07,3,2
2021-07-08,1,115747
2021-07-08,2,43711
2021-07-08,3,2
2021-07-09,1,123201
2021-07-09,2,41287
2021-07-10,1,241796
2021-07-10,2,27141
2021-07-10,3,6
2021-07-11,1,170222
2021-07-11,2,11000
2021-07-11,3,8
2021-07-12,1,84838
2021-07-12,2,22871
2021-07-13,1,86873
2021-07-13,2,25578
2021-07-13,3,1
2021-07-14,1,119586
2021-07-14,2,30196
2021-07-14,3,1
2021-07-15,1,142413
2021-07-15,2,58214
2021-07-16,1,133579
2021-07-16,2,95277
2021-07-16,3,2
2021-07-17,1,227846
2021-07-17,2,81585
2021-07-17,3,4
2021-07-18,1,131885
2021-07-18,2,47018
2021-07-18,3,1
2021-07-19,1,57771
2021-07-19,2,40887
2021-07-19,3,1
2021-07-20,1,71698
2021-07-20,2,31918
2021-07-20,3,1
2021-07-21,1,86843
2021-07-21,2,72826
2021-07-22,1,110626
2021-07-22,2,83841
2021-07-22,3,2
2021-07-22,4,2
2021-07-23,1,147555
2021-07-23,2,101017
2021-07-23,3,2
2021-07-23,4,1
2021-07-24,1,276425
2021-07-24,2,111957
2021-07-24,3,2
2021-07-25,1,206946
2021-07-25,2,101282
2021-07-25,3,3
2021-07-26,1,52601
2021-07-26,2,25533
2021-07-27,1,40976
2021-07-27,2,214295
2021-07-27,3,4
2021-07-28,1,14115
2021-07-28,2,101994
2021-07-28,3,2
2021-07-29,1,15699
2021-07-29,2,49568
2021-07-29,3,2
2021-07-30,1,37590
2021-07-30,2,128650
2021-07-30,3,3
2021-07-30,4,1
2021-07-31,1,59217
2021-07-31,2,216981
2021-07-31,3,5
2021-07-31,4,1
2021-08-01,1,52757
2021-08-01,2,156725
2021-08-01,3,3
2021-08-02,1,40931
2021-08-02,2,108335
2021-08-02,3,1
2021-08-03,1,38353
2021-08-03,2,101723
2021-08-03,3,2
2021-08-04,1,49394
2021-08-04,2,112527
2021-08-04,3,2
2021-08-05,1,51293
2021-08-05,2,121550
2021-08-06,1,155927
2021-08-06,2,129542
2021-08-06,3,2
2021-08-07,1,290284
2021-08-07,2,206789
2021-08-07,3,2
2021-08-07,4,1
2021-08-08,1,222261
2021-08-08,2,140510
2021-08-08,3,4
2021-08-09,1,53556
2021-08-09,2,52407
2021-08-10,1,60641
2021-08-10,2,63753
2021-08-10,3,1
2021-08-11,1,42033
2021-08-11,2,78007
2021-08-11,3,1
2021-08-12,1,37869
2021-08-12,2,80190
2021-08-12,3,1
2021-08-13,1,34557
2021-08-13,2,83423
2021-08-13,3,1
2021-08-14,1,39986
2021-08-14,2,194830
2021-08-14,3,3
2021-08-14,4,1
2021-08-15,1,21172
2021-08-15,2,175894
2021-08-15,3,3
2021-08-16,1,32753
2021-08-16,2,47646
2021-08-16,3,4
2021-08-17,1,37568
2021-08-17,2,63503
2021-08-17,3,3
2021-08-18,1,34743
2021-08-18,2,54856
2021-08-18,3,2
2021-08-19,1,43354
2021-08-19,2,58859
2021-08-19,3,2
2021-08-20,1,81875
2021-08-20,2,69300
2021-08-21,1,186664
2021-08-21,2,130332
2021-08-21,3,2
2021-08-22,1,152011
2021-08-22,2,79959
2021-08-22,3,6
2021-08-23,1,34895
2021-08-23,2,46207
2021-08-23,3,1
2021-08-24,1,37817
2021-08-24,2,39543
2021-08-25,1,53543
2021-08-25,2,38036
2021-08-25,3,2
2021-08-26,1,70642
2021-08-26,2,36336
2021-08-26,3,2
2021-08-26,4,1
2021-08-27,1,55118
2021-08-27,2,118600
2021-08-27,3,3
2021-08-27,4,1
2021-08-28,1,230935
2021-08-28,2,232226
2021-08-28,3,7
2021-08-29,1,179437
2021-08-29,2,229038
2021-08-29,3,6
2021-08-29,4,1
2021-08-30,1,7847
2021-08-30,2,10145
2021-08-30,3,1
2021-08-31,1,71084
2021-08-31,2,49058
2021-08-31,3,3
2021-09-01,1,75353
2021-09-01,2,71184
2021-09-01,3,2
2021-09-02,1,126367
2021-09-02,2,58824
2021-09-02,3,2
2021-09-03,1,146054
2021-09-03,2,68404
2021-09-03,3,3
2021-09-04,1,289898
2021-09-04,2,75387
2021-09-04,3,5
2021-09-05,1,237910
2021-09-05,2,33587
2021-09-05,3,7
2021-09-06,1,111241
2021-09-06,2,30151
2021-09-06,3,2
2021-09-07,1,175078
2021-09-07,2,38423
2021-09-07,3,1
2021-09-08,1,299133
2021-09-08,2,54387
2021-09-08,3,2
2021-09-09,1,298895
2021-09-09,2,50773
2021-09-09,3,6
2021-09-09,4,1
2021-09-10,1,338718
2021-09-10,2,75444
2021-09-10,3,6
2021-09-11,1,483250
2021-09-11,2,119352
2021-09-11,3,9
2021-09-11,4,1
2021-09-12,1,366918
2021-09-12,2,124084
2021-09-12,3,4
2021-09-12,4,2
2021-09-13,1,171156
2021-09-13,2,39273
2021-09-13,3,3
2021-09-14,1,260976
2021-09-14,2,40929
2021-09-14,3,5
2021-09-14,4,1
2021-09-15,1,199598
2021-09-15,2,53724
2021-09-15,3,5
2021-09-16,1,262929
2021-09-16,2,74423
2021-09-16,3,6
2021-09-17,1,253904
2021-09-17,2,53601
2021-09-17,3,8
2021-09-18,1,331548
2021-09-18,2,159209
2021-09-18,3,10
2021-09-18,4,2
2021-09-19,1,187779
2021-09-19,2,116411
2021-09-19,3,6
2021-09-19,4,1
2021-09-20,1,85392
2021-09-20,2,46082
2021-09-20,3,12
2021-09-21,1,118679
2021-09-21,2,82205
2021-09-21,3,9
2021-09-22,1,104996
2021-09-22,2,70522
2021-09-22,3,1
2021-09-23,1,94340
2021-09-23,2,75323
2021-09-23,3,7
2021-09-23,4,1
2021-09-24,1,101595
2021-09-24,2,95434
2021-09-24,3,5
2021-09-25,1,159229
2021-09-25,2,252548
2021-09-25,3,4
2021-09-26,1,124175
2021-09-26,2,203520
2021-09-26,3,7
2021-09-27,1,97896
2021-09-27,2,108538
2021-09-27,3,5
2021-09-28,1,109896
2021-09-28,2,128872
2021-09-28,3,4
2021-09-29,1,103112
2021-09-29,2,208264
2021-09-29,3,17
2021-09-29,4,1
2021-09-30,1,95857
2021-09-30,2,218453
2021-09-30,3,16
2021-10-01,1,88331
2021-10-01,2,198660
2021-10-01,3,17
2021-10-02,1,177111
2021-10-02,2,398632
2021-10-02,3,56
2021-10-03,1,152611
2021-10-03,2,331371
2021-10-03,3,18
2021-10-03,4,1
2021-10-04,1,73503
2021-10-04,2,191961
2021-10-04,3,14
2021-10-05,1,74394
2021-10-05,2,221685
2021-10-05,3,19
2021-10-05,4,1
2021-10-06,1,74914
2021-10-06,2,206194
2021-10-06,3,12
2021-10-07,1,70154
2021-10-07,2,200621
2021-10-07,3,8
2021-10-08,1,57691
2021-10-08,2,152547
2021-10-08,3,32
2021-10-08,4,2
2021-10-09,1,94909
2021-10-09,2,281617
2021-10-09,3,17
2021-10-09,4,1
2021-10-10,1,64681
2021-10-10,2,177066
2021-10-10,3,19
2021-10-11,1,63504
2021-10-11,2,116193
2021-10-11,3,9
2021-10-11,4,2
2021-10-12,1,115453
2021-10-12,2,125297
2021-10-12,3,57
2021-10-13,1,109911
2021-10-13,2,118025
2021-10-13,3,10
2021-10-14,1,106809
2021-10-14,2,118548
2021-10-14,3,20
2021-10-14,4,1
2021-10-15,1,110298
2021-10-15,2,111194
2021-10-15,3,20427
2021-10-16,1,177495
2021-10-16,2,146048
2021-10-16,3,25240
2021-10-17,1,156937
2021-10-17,2,120767
2021-10-17,3,10915
2021-10-18,1,92291
2021-10-18,2,86479
2021-10-18,3,26909
2021-10-19,1,76396
2021-10-19,2,103261
2021-10-19,3,25792
2021-10-20,1,57568
2021-10-20,2,97873
2021-10-20,3,25482
2021-10-20,4,2
2021-10-21,1,57225
2021-10-21,2,92809
2021-10-21,3,16809
2021-10-22,1,48699
2021-10-22,2,88246
2021-10-22,3,15529
2021-10-23,1,106873
2021-10-23,2,145622
2021-10-23,3,7304
2021-10-24,1,74411
2021-10-24,2,125959
2021-10-24,3,2198
2021-10-25,1,40350
2021-10-25,2,76097
2021-10-25,3,6971
2021-10-26,1,37929
2021-10-26,2,74066
2021-10-26,3,6265
2021-10-27,1,37577
2021-10-27,2,70124
2021-10-27,3,5789
2021-10-28,1,44783
2021-10-28,2,71595
2021-10-28,3,11308
2021-10-29,1,47683
2021-10-29,2,66430
2021-10-29,3,15172
2021-10-30,1,208715
2021-10-30,2,85814
2021-10-30,3,14298
2021-10-31,1,176514
2021-10-31,2,69332
2021-10-31,3,9022
2021-11-01,1,74513
2021-11-01,2,24363
2021-11-01,3,4315
2021-11-02,1,91556
2021-11-02,2,36527
2021-11-02,3,6729
2021-11-03,1,108919
2021-11-03,2,50208
2021-11-03,3,9683
2021-11-04,1,171359
2021-11-04,2,60922
2021-11-04,3,9853
2021-11-05,1,224770
2021-11-05,2,59292
2021-11-05,3,8957
2021-11-06,1,313164
2021-11-06,2,101830
2021-11-06,3,8976
2021-11-06,4,2
2021-11-07,1,212813
2021-11-07,2,94319
2021-11-07,3,6066
2021-11-08,1,121839
2021-11-08,2,74141
2021-11-08,3,7514
2021-11-09,1,111320
2021-11-09,2,97091
2021-11-09,3,10676
2021-11-09,5,1
2021-11-10,1,108946
2021-11-10,2,82042
2021-11-10,3,16604
2021-11-11,1,93968
2021-11-11,2,79590
2021-11-11,3,19129
2021-11-12,1,85702
2021-11-12,2,68411
2021-11-12,3,14261
2021-11-13,1,113546
2021-11-13,2,117433
2021-11-13,3,11415
2021-11-14,1,98819
2021-11-14,2,104351
2021-11-14,3,11889
2021-11-15,1,85433
2021-11-15,2,72874
2021-11-15,3,9514
2021-11-15,4,1
2021-11-16,1,105952
2021-11-16,2,71617
2021-11-16,3,10824
2021-11-17,1,103784
2021-11-17,2,70390
2021-11-17,3,9936
2021-11-18,1,103716
2021-11-18,2,66200
2021-11-18,3,10241
2021-11-18,4,1
2021-11-19,1,104076
2021-11-19,2,62650
2021-11-19,3,10913
2021-11-20,1,130201
2021-11-20,2,161089
2021-11-20,3,11407
2021-11-20,4,1
2021-11-21,1,109374
2021-11-21,2,166072
2021-11-21,3,14165
2021-11-22,1,82632
2021-11-22,2,90020
2021-11-22,3,16935
2021-11-23,1,83315
2021-11-23,2,100047
2021-11-23,3,18051
2021-11-24,1,75412
2021-11-24,2,95986
2021-11-24,3,21302
2021-11-25,1,73060
2021-11-25,2,134712
2021-11-25,3,21597
2021-11-26,1,68560
2021-11-26,2,160451
2021-11-26,3,61142
2021-11-27,1,83774
2021-11-27,2,244369
2021-11-27,3,104309
2021-11-27,4,1
2021-11-27,5,1
2021-11-28,1,72880
2021-11-28,2,191625
2021-11-28,3,88122
2021-11-28,4,1
2021-11-29,1,56444
2021-11-29,2,118288
2021-11-29,3,95233
2021-11-30,1,52199
2021-11-30,2,107610
2021-11-30,3,101947
2021-12-01,1,54405
2021-12-01,2,97995
2021-12-01,3,101654
2021-12-02,1,63832
2021-12-02,2,98094
2021-12-02,3,109380
2021-12-02,4,4
2021-12-03,1,64436
2021-12-03,2,95968
2021-12-03,3,104235
2021-12-03,4,4
2021-12-04,1,78204
2021-12-04,2,129601
2021-12-04,3,111994
2021-12-04,4,2
2021-12-04,5,2
2021-12-05,1,63371
2021-12-05,2,107626
2021-12-05,3,74841
2021-12-05,4,3
2021-12-06,1,58067
2021-12-06,2,86234
2021-12-06,3,76001
2021-12-06,4,1
2021-12-07,1,57479
2021-12-07,2,92740
2021-12-07,3,74677
2021-12-07,4,2
2021-12-08,1,44819
2021-12-08,2,71382
2021-12-08,3,48486
2021-12-08,4,6
2021-12-09,1,66582
2021-12-09,2,105855
2021-12-09,3,73290
2021-12-09,4,3
2021-12-10,1,110416
2021-12-10,2,143522
2021-12-10,3,79398
2021-12-10,4,3
2021-12-11,1,136580
2021-12-11,2,181335
2021-12-11,3,78496
2021-12-11,4,2
2021-12-12,1,103804
2021-12-12,2,151453
2021-12-12,3,58153
2021-12-12,4,6
2021-12-13,1,112383
2021-12-13,2,125320
2021-12-13,3,62175
2021-12-13,4,5
2021-12-14,1,111411
2021-12-14,2,139881
2021-12-14,3,62907
2021-12-14,4,2
2021-12-14,5,1
2021-12-15,1,101198
2021-12-15,2,128506
2021-12-15,3,57733
2021-12-15,4,2
2021-12-16,1,74752
2021-12-16,2,105428
2021-12-16,3,51612
2021-12-16,4,5
2021-12-17,1,73492
2021-12-17,2,102940
2021-12-17,3,51700
2021-12-17,4,7
2021-12-18,1,66784
2021-12-18,2,104788
2021-12-18,3,51373
2021-12-18,4,4
2021-12-19,1,45474
2021-12-19,2,86598
2021-12-19,3,42763
2021-12-19,4,1
2021-12-20,1,53468
2021-12-20,2,80309
2021-12-20,3,125313
2021-12-20,4,6
2021-12-20,5,1
2021-12-21,1,48509
2021-12-21,2,78134
2021-12-21,3,243882
2021-12-21,4,10
2021-12-22,1,40515
2021-12-22,2,71591
2021-12-22,3,216224
2021-12-22,4,3
2021-12-23,1,32564
2021-12-23,2,61003
2021-12-23,3,142200
2021-12-23,4,5
2021-12-24,1,11892
2021-12-24,2,22346
2021-12-24,3,43692
2021-12-25,1,3169
2021-12-25,2,5327
2021-12-25,3,24788
2021-12-26,1,15801
2021-12-26,2,40687
2021-12-26,3,127688
2021-12-26,4,3
2021-12-27,1,33967
2021-12-27,2,74754
2021-12-27,3,201406
2021-12-27,4,8
2021-12-28,1,35789
2021-12-28,2,77768
2021-12-28,3,209292
2021-12-28,4,8
2021-12-28,5,1
2021-12-29,1,33356
2021-12-29,2,67477
2021-12-29,3,177339
2021-12-29,4,3
2021-12-29,5,1
2021-12-30,1,29055
2021-12-30,2,59126
2021-12-30,3,125675
2021-12-30,4,3
2021-12-31,1,9801
2021-12-31,2,24480
2021-12-31,3,34151
2021-12-31,4,3
2021-12-31,5,1
2022-01-01,1,1706
2022-01-01,2,3841
2022-01-01,3,13912
2022-01-01,4,2
2022-01-02,1,8282
2022-01-02,2,28697
2022-01-02,3,75546
2022-01-02,4,3
2022-01-03,1,25442
2022-01-03,2,69984
2022-01-03,3,148205
2022-01-03,4,1
2022-01-04,1,26253
2022-01-04,2,75497
2022-01-04,3,168096
2022-01-04,4,7
2022-01-05,1,29924
2022-01-05,2,77131
2022-01-05,3,206736
2022-01-05,4,4
2022-01-06,1,29030
2022-01-06,2,73761
2022-01-06,3,214044
2022-01-06,4,8
2022-01-07,1,28074
2022-01-07,2,73181
2022-01-07,3,216017
2022-01-07,4,1
2022-01-08,1,25100
2022-01-08,2,67863
2022-01-08,3,237485
2022-01-08,4,6
2022-01-08,5,1
2022-01-09,1,16340
2022-01-09,2,44202
2022-01-09,3,139738
2022-01-09,4,6
2022-01-10,1,27396
2022-01-10,2,66809
2022-01-10,3,179943
2022-01-10,4,8
2022-01-11,1,24315
2022-01-11,2,59707
2022-01-11,3,173256
2022-01-11,4,8
2022-01-12,1,23832
2022-01-12,2,57061
2022-01-12,3,159992
2022-01-12,4,3
2022-01-13,1,22528
2022-01-13,2,53355
2022-01-13,3,168571
2022-01-13,4,9
2022-01-14,1,20756
